company_id,company,industry,region,first_participation_year,multiple_year,best_result,initial_funds,initial_employees,tamu_affiliated,spinout,college_entity,sponsor_tamu_research,details
1,Apotact,Devices,Austin,2015,,Semifinalist,,,0,0,,0,
2,BeehiveID,IT/Software,Austin,2015,,Semifinalist,,,0,0,,0,
3,Brevitest Technologies,Medical Device,Houston,2015,,Finalist,200000.0,,0,0,,0,
4,Cirasys,Energy,North Texas (Including DFW),2015,,Semifinalist,1000000.0,,0,0,,0,
5,ECM Technologies,Rx/Therapeutics,Houston,2015,"2015, 2016",Semifinalist,450000.0,,1,1,"Engineering, HSC",0,TAMUS Company; TEES Company; TAMUS Equity; TAMUS Personnel
6,Guardian Sensors,Medical Device,Houston,2015,,Semifinalist,,,0,0,,0,
7,Luminostics,Digital Health,Palo Alto,2015,,Semifinalist,60000.0,,0,0,,0,
8,Noninvasix,Medical Device,Houston,2015,,Finalist,1800000.0,,0,0,,0,
9,Remind Trac (Remind Tech),Medical Device,Houston,2015,,Semifinalist,250000.0,,0,0,,0,
10,Sano Chemicals,Rx/Therapeutics,Bryan/College Station,2015,,Finalist,1000000.0,,1,1,College of Arts and Sciences,0,TAMUS Company; TAMUS Equity; 
11,Scribesense,IT/Software,North Texas (Including DFW),2015,,Finalist,125000.0,,0,0,,0,
12,SemanticMD,IT/Software,Houston,2015,,Semifinalist,210000.0,,0,0,,0,
13,SIlexta,Energy,Austin,2015,,Semifinalist,,,0,0,,0,
14,TeVido,Rx/Therapeutics,Austin,2015,,Finalist,1200000.0,,0,0,,0,
15,Thermal Expansion Solutions (Allvar),Energy,Bryan/College Station,2015,,Finalist,0.0,,1,1,TEES,0,TAMUS Company; TEES Company; TAMUS Equity; Former Student; TAMUS Personnel
16,TxESI,Clean Tech,Bryan/College Station,2015,,Semifinalist,680000.0,,1,1,"Vet School, Agrilife",0,Dr. Robert Carpenter. TAMUS Company; TAMUS Equity; 
17,U-Solution,Energy,Austin,2015,,Semifinalist,50000.0,,0,0,,0,
18,Voyager Biomedical (Scepter Medical Devices),Medical Device,Bryan/College Station,2015,"2015, 2016",Finalist,100000.0,,1,0,,0,TAMUS Company; TEES Company; TAMUS Equity; TAMUS Personnel
19,WaaveStream,Clean Tech,Houston,2015,,Semifinalist,,,0,0,,1,
20,YouRoam,Devices,Miami,2015,,Semifinalist,,,0,0,,0,
21,Acoustic Shield,IT/Software,Bryan/College Station,2016,"2016, 2017",Semifinalist,,,1,0,,0,TAMUS Company; TAMUS Personnel
22,Astrapi,IT/Software,North Texas (Including DFW),2016,,Semifinalist,2205000.0,,0,0,,0,
23,Cartofusion Technologies,IT/Software,Houston,2016,,Finalist,120000.0,,1,1,TAMUCC,0,"TAMU Corpus Christi. Rick Smith, School of Engineering and Computing Sciences. AMUS Company; TAMUS Equity; Former Student; TAMUS Personnel"
24,Doc Response,IT/Software,Houston,2016,,Semifinalist,75000.0,,0,0,,0,
25,ENTvantgage Diagnostics,Digital Health,Austin,2016,,Semifinalist,1450000.0,,0,0,,0,
26,Knocki,Devices,Austin,2016,,Semifinalist,630000.0,,0,0,,0,
27,NarrativeDx,IT/Software,Austin,2016,,Semifinalist,1100000.0,,0,0,,0,
28,NuPark,IT/Software,Austin,2016,,Finalist,1690000.0,,0,0,,0,
29,REEcycle,Clean Tech,Houston,2016,,Finalist,302000.0,,0,0,,0,
30,Siva Therapeutics,Rx/Therapeutics,Houston,2016,,Finalist,1100000.0,,0,0,,0,
31,Stream Biomedical,Rx/Therapeutics,Houston,2016,"2016, 2018",Semifinalist,600000.0,,1,1,HSC,0,"College of Medicine (HSC) (if Gregory Bix, MD was involved). TAMUS Company; TAMUS Equity; Former Student; TAMUS Personnel"
32,Trifusion/Essentium,IT/Software,Bryan/College Station,2016,,Finalist,52000.0,,1,0,,0,TAMUS Company; TEES Company; TAMUS Personnel
33,WT Industries,Energy,Houston,2016,,Semifinalist,0.0,,0,0,,0,
34,Alleviant Medical,Medical Device,Austin,2017,"2017, 2018",Semifinalist,1100000.0,,1,0,,0,TAMUS Company; TAMUS Personnel
35,Claridge-Culp,Energy,Bryan/College Station,2017,,Semifinalist,586264.0,,1,1,TEES,0,TAMUS Company; TEES Company; TAMUS Equity; Former Student; 
36,Clear River Enviro,Clean Tech,Houston,2017,,Finalist,900000.0,,0,0,,0,
