employee_id,company_id,company,value,date,added_by,source,comments
1,5.0,ECM Technologies,2,2018-12-31,Neil,Old Data - Survey 2018,
2,8.0,Noninvasix,1,2018-12-31,Neil,Old Data - Survey 2018,
3,10.0,Sano Chemicals,4,2018-12-31,Neil,Old Data - Survey 2018,
4,14.0,TeVido,4,2018-12-31,Neil,Old Data - Survey 2018,
5,15.0,Thermal Expansion Solutions (Allvar),4,2018-12-31,Neil,Old Data - Survey 2018,
6,18.0,Voyager Biomedical (Scepter Medical Devices),2,2018-12-31,Neil,Old Data - Survey 2018,
7,22.0,Astrapi,5,2018-12-31,Neil,Old Data - Survey 2018,
8,25.0,ENTvantgage Diagnostics,5,2018-12-31,Neil,Old Data - Survey 2018,
9,26.0,Knocki,10,2018-12-31,Neil,Old Data - Survey 2018,
10,28.0,NuPark,45,2018-12-31,Neil,Old Data - Survey 2018,
11,29.0,REEcycle,6,2018-12-31,Neil,Old Data - Survey 2018,
12,30.0,Siva Therapeutics,3,2018-12-31,Neil,Old Data - Survey 2018,
13,31.0,Stream Biomedical,3,2018-12-31,Neil,Old Data - Survey 2018,
14,33.0,WT Industries,1,2018-12-31,Neil,Old Data - Survey 2018,
15,34.0,Alleviant Medical,4,2018-12-31,Neil,Old Data - Survey 2018,
16,35.0,Claridge-Culp,5,2018-12-31,Neil,Old Data - Survey 2018,
17,36.0,Clear River Enviro,2,2018-12-31,Neil,Old Data - Survey 2018,
18,37.0,Fortis Biosciences,2,2018-12-31,Neil,Old Data - Survey 2018,
19,38.0,GuidaBot,1,2018-12-31,Neil,Old Data - Survey 2018,
20,39.0,IntuiTap Medical,5,2018-12-31,Neil,Old Data - Survey 2018,
21,41.0,Macromoltek,7,2018-12-31,Neil,Old Data - Survey 2018,
22,48.0,Shower Stream,4,2018-12-31,Neil,Old Data - Survey 2018,
23,49.0,Slipstream Wind,1,2018-12-31,Neil,Old Data - Survey 2018,
24,52.0,Thermascape Technologies,2,2018-12-31,Neil,Old Data - Survey 2018,
25,53.0,Admetsys,6,2018-12-31,Neil,Old Data - Survey 2018,
26,,Advanced Scanners,3,2018-12-31,Neil,Old Data - Survey 2018,
27,55.0,Arovia,4,2018-12-31,Neil,Old Data - Survey 2018,
28,56.0,AtmoSpark,3,2018-12-31,Neil,Old Data - Survey 2018,
29,57.0,M&S Biotics,4,2018-12-31,Neil,Old Data - Survey 2018,
30,58.0,Polar Panel,4,2018-12-31,Neil,Old Data - Survey 2018,
31,59.0,ResponderX,4,2018-12-31,Neil,Old Data - Survey 2018,
32,60.0,RevaTis,2,2018-12-31,Neil,Old Data - Survey 2018,
33,61.0,SABER Corportation,4,2018-12-31,Neil,Old Data - Survey 2018,
34,63.0,VastBiome,4,2018-12-31,Neil,Old Data - Survey 2018,
35,64.0,VenoStent,2,2018-12-31,Neil,Old Data - Survey 2018,
36,65.0,Verdegen,2,2018-12-31,Neil,Old Data - Survey 2018,
37,67.0,Xyber Technologies,3,2018-12-31,Neil,Old Data - Survey 2018,
38,68.0,Yotta Solar,5,2018-12-31,Neil,Old Data - Survey 2018,
39,66.0,Vitls,8,2018-12-31,Neil,Old Data - Survey 2018,
40,1.0,Apotact,0,2018-12-31,Neil,Old Data - Survey 2018,
41,2.0,BeehiveID,0,2018-12-31,Neil,Old Data - Survey 2018,
42,3.0,Brevitest Technologies,0,2018-12-31,Neil,Old Data - Survey 2018,
43,4.0,Cirasys,0,2018-12-31,Neil,Old Data - Survey 2018,
44,6.0,Guardian Sensors,0,2018-12-31,Neil,Old Data - Survey 2018,
45,7.0,Luminostics,0,2018-12-31,Neil,Old Data - Survey 2018,
46,9.0,Remind Trac (Remind Tech),0,2018-12-31,Neil,Old Data - Survey 2018,
47,11.0,Scribesense,0,2018-12-31,Neil,Old Data - Survey 2018,
48,12.0,SemanticMD,0,2018-12-31,Neil,Old Data - Survey 2018,
49,13.0,SIlexta,0,2018-12-31,Neil,Old Data - Survey 2018,
50,16.0,TxESI,0,2018-12-31,Neil,Old Data - Survey 2018,
51,17.0,U-Solution,0,2018-12-31,Neil,Old Data - Survey 2018,
52,19.0,WaaveStream,0,2018-12-31,Neil,Old Data - Survey 2018,
53,20.0,YouRoam,0,2018-12-31,Neil,Old Data - Survey 2018,
54,23.0,Cartofusion Technologies,0,2018-12-31,Neil,Old Data - Survey 2018,
55,24.0,Doc Response,0,2018-12-31,Neil,Old Data - Survey 2018,
56,27.0,NarrativeDx,0,2018-12-31,Neil,Old Data - Survey 2018,
57,32.0,Trifusion/Essentium,0,2018-12-31,Neil,Old Data - Survey 2018,
58,21.0,Acoustic Shield,0,2018-12-31,Neil,Old Data - Survey 2018,
59,40.0,Life Motion Technologies,0,2018-12-31,Neil,Old Data - Survey 2018,
60,42.0,NHC,0,2018-12-31,Neil,Old Data - Survey 2018,
61,43.0,Prepflash,0,2018-12-31,Neil,Old Data - Survey 2018,
62,44.0,Quantum Industrial Development Corp,0,2018-12-31,Neil,Old Data - Survey 2018,
63,45.0,Resthetics,0,2018-12-31,Neil,Old Data - Survey 2018,
64,46.0,Rotex,0,2018-12-31,Neil,Old Data - Survey 2018,
65,47.0,Sensytec,0,2018-12-31,Neil,Old Data - Survey 2018,
66,50.0,Smarter Sorting (Smarter X),0,2018-12-31,Neil,Old Data - Survey 2018,
67,,Stem cell Security,0,2018-12-31,Neil,Old Data - Survey 2018,
68,62.0,Sunrise Health,0,2018-12-31,Neil,Old Data - Survey 2018,
69,69.0,Bezoar Laborartories,0,2018-12-31,Neil,Old Data - Survey 2018,
70,70.0,BioLum Sciences,0,2018-12-31,Neil,Old Data - Survey 2018,
71,71.0,Carbonwire,0,2018-12-31,Neil,Old Data - Survey 2018,
72,72.0,EM Device Lab,0,2018-12-31,Neil,Old Data - Survey 2018,
73,73.0,GaitIQ,0,2018-12-31,Neil,Old Data - Survey 2018,
74,75.0,Health Note,0,2018-12-31,Neil,Old Data - Survey 2018,
75,76.0,Ictero Medical,0,2018-12-31,Neil,Old Data - Survey 2018,
76,77.0,Immosis,0,2018-12-31,Neil,Old Data - Survey 2018,
77,78.0,Intelligent Implants,0,2018-12-31,Neil,Old Data - Survey 2018,
78,79.0,NovoThelium,0,2018-12-31,Neil,Old Data - Survey 2018,
79,80.0,PolyVascular,0,2018-12-31,Neil,Old Data - Survey 2018,
80,61.0,SABER Corportation,3,2019-09-09,Neil,Call,
81,48.0,Shower Stream,3,2019-11-18,Neil,Survey 2019,
82,60.0,RevaTis,2,2019-11-18,Neil,Survey 2019,
83,81.0,Spark Biomedical,10,2019-11-18,Neil,Survey 2019,
84,8.0,Noninvasix,1,2019-11-18,Neil,Survey 2019,
85,64.0,VenoStent,3,2019-11-18,Neil,Survey 2019,
86,83.0,SurfEllent,4,2019-11-18,Neil,Survey 2019,
87,,Advanced Scanners,7,2019-11-18,Neil,Survey 2019,
88,35.0,Claridge-Culp,3,2019-11-18,Neil,Survey 2019,
89,71.0,Carbonwire,3,2019-11-18,Neil,Survey 2019,
90,69.0,Bezoar Laborartories,1,2019-11-18,Neil,Survey 2019,
91,72.0,EM Device Lab,2,2019-11-18,Neil,Survey 2019,
92,5.0,ECM Technologies,1,2019-11-18,Neil,Survey 2019,
93,25.0,ENTvantgage Diagnostics,5,2019-11-18,Neil,Survey 2019,
94,79.0,NovoThelium,3,2019-11-18,Neil,Survey 2019,
95,61.0,SABER Corportation,2,2019-11-18,Neil,Survey 2019,
96,75.0,Health Note,10,2019-11-18,Neil,Survey 2019,
97,14.0,TeVido,6,2019-11-18,Neil,Survey 2019,
98,53.0,Admetsys,12,2019-11-18,Neil,Survey 2019,
99,73.0,GaitIQ,5,2019-11-18,Neil,Survey 2019,
100,56.0,AtmoSpark,4,2019-11-18,Neil,Survey 2019,
101,55.0,Arovia,3,2019-11-18,Neil,Survey 2019,
102,10.0,Sano Chemicals,5,2019-11-18,Neil,Survey 2019,
103,85.0,Toggle Health,1,2019-11-18,Neil,Survey 2019,
104,,Siva Therapeutics ,3,2019-11-18,Neil,Survey 2019,
105,82.0,Sun Co. Tracking,2,2019-11-18,Neil,Survey 2019,
106,63.0,VastBiome,4,2019-11-18,Neil,Survey 2019,
107,49.0,Slipstream Wind,2,2019-11-18,Neil,Survey 2019,
108,37.0,Fortis Biosciences,3,2020-01-21,Neil,Survey 2019,
109,36.0,Clear River Enviro,2,2020-01-21,Neil,Survey 2019,
110,84.0,Teysha Technologies,7,2020-01-21,Neil,Survey 2019,
111,39.0,IntuiTap Medical,6,2020-01-30,Neil,Survey 2019,
112,76.0,Ictero Medical,2,2020-01-30,Neil,Survey 2019,
113,86.0,Allosense,7,2020-06-10,Clare,TNVC 2020,
114,87.0,Allotrope Medical,2,2020-06-10,Clare,TNVC 2020,
115,88.0,Articulate Labs,3,2020-06-10,Clare,TNVC 2020,
116,69.0,Bezoar Laborartories,2,2020-06-10,Clare,TNVC 2020,
117,89.0,Bondwell Technologies,4,2020-06-10,Clare,TNVC 2020,
118,72.0,EM Device Lab,6,2020-06-10,Clare,TNVC 2020,
119,90.0,Endpoint Security,3,2020-06-10,Clare,TNVC 2020,
120,91.0,Energy Bionics,17,2020-06-10,Clare,TNVC 2020,
121,92.0,FastVisa.us,8,2020-06-10,Clare,TNVC 2020,
122,93.0,Feel the Color,1,2020-06-10,Clare,TNVC 2020,
123,94.0,HiPR Innovation,5,2020-06-10,Clare,TNVC 2020,
124,95.0,Intelligent Nanofiber,18,2020-06-10,Clare,TNVC 2020,
125,96.0,Katz Water Technologies,5,2020-06-10,Clare,TNVC 2020,
126,79.0,NovoThelium,3,2020-06-10,Clare,TNVC 2020,
127,97.0,Olifant Medical,3,2020-06-10,Clare,TNVC 2020,
128,80.0,PolyVascular,3,2020-06-10,Clare,TNVC 2020,
129,98.0,Rectify Inc.,5,2020-06-10,Clare,TNVC 2020,
130,47.0,Sensytec,4,2020-06-10,Clare,TNVC 2020,
131,99.0,Solenic Medical,6,2020-06-10,Clare,TNVC 2020,
132,100.0,TexPower,3,2020-06-10,Clare,TNVC 2020,
133,101.0,Valhalla Healthcare,8,2020-06-10,Clare,TNVC 2020,
134,102.0,VeraDermics Incorporated,6,2020-06-10,Clare,TNVC 2020,
135,103.0,Xebec,2,2020-06-10,Clare,TNVC 2020,
136,74.0,Harmony Aeronautics,13,2020-09-24,Clare,2019 Application Data,
137,84.0,Teysha Technologies,5,2020-09-24,Clare,Website ,
138,,Advanced Scanners,7,2021-01-12,Clare & Neil,TNVC 2020 Survey,
139,73.0,GaitIQ,5,2021-01-12,Clare & Neil,TNVC 2020 Survey,
140,81.0,Spark Biomedical,16,2021-01-12,Clare & Neil,TNVC 2020 Survey,
141,55.0,Arovia,3,2021-01-12,Clare & Neil,TNVC 2020 Survey,
142,88.0,Articulate Labs,3,2021-01-12,Clare & Neil,TNVC 2020 Survey,
143,100.0,TexPower,4,2021-01-12,Clare & Neil,TNVC 2020 Survey,
144,72.0,EM Device Lab,2,2021-01-12,Clare & Neil,TNVC 2020 Survey,
145,91.0,Energy Bionics,2,2021-01-12,Clare & Neil,TNVC 2020 Survey,
146,103.0,Xebec,7,2021-01-12,Clare & Neil,TNVC 2020 Survey,
147,27.0,NarrativeDx,20,2021-01-12,Clare & Neil,TNVC 2020 Survey,
148,41.0,Macromoltek,15,2021-01-12,Clare & Neil,TNVC 2020 Survey,
149,64.0,VenoStent,5,2021-01-12,Clare & Neil,TNVC 2020 Survey,
150,35.0,Claridge-Culp,1,2021-01-12,Clare & Neil,TNVC 2020 Survey,
151,99.0,Solenic Medical,6,2021-01-12,Clare & Neil,TNVC 2020 Survey,
152,61.0,SABER Corportation,1,2021-01-12,Clare & Neil,TNVC 2020 Survey,
153,18.0,Voyager Biomedical (Scepter Medical Devices),3,2021-01-12,Clare & Neil,TNVC 2020 Survey,
154,56.0,AtmoSpark,3,2021-01-12,Clare & Neil,TNVC 2020 Survey,
155,22.0,Astrapi,5,2021-01-12,Clare & Neil,TNVC 2020 Survey,
156,48.0,Shower Stream,4,2021-01-12,Clare & Neil,TNVC 2020 Survey,
157,79.0,NovoThelium,3,2021-01-12,Clare & Neil,TNVC 2020 Survey,
158,87.0,Allotrope Medical,3,2021-01-12,Clare & Neil,TNVC 2020 Survey,
159,57.0,M&S Biotics,3,2021-01-12,Clare & Neil,TNVC 2020 Survey,
160,90.0,Endpoint Security,3,2021-01-12,Clare & Neil,TNVC 2020 Survey,
161,72.0,EM Device Lab,2,2021-01-12,Clare & Neil,TNVC 2020 Survey,
162,104.0,ASR Systems,2,2021-06-12,Neil,TNVC 2021 App,
163,105.0,AVA Propulsion,2,2021-06-12,Neil,TNVC 2021 App,
164,106.0,Code Walker,4,2021-06-12,Neil,TNVC 2021 App,
165,107.0,DrillDocs Company,3,2021-06-12,Neil,TNVC 2021 App,
166,108.0,EmGenisys,5,2023-03-31,Eric,TNVC 2023 App,
167,109.0,HelioWave Technologies,1,2021-06-12,Neil,TNVC 2021 App,
168,110.0,HERO Medical Technologies,2,2021-06-12,Neil,TNVC 2021 App,
169,111.0,Icii Technologies,2,2021-06-12,Neil,TNVC 2021 App,
170,112.0,Industrom Power,4,2021-06-12,Neil,TNVC 2021 App,
171,113.0,Koda Health,4,2021-06-12,Neil,TNVC 2021 App,
172,114.0,Max-IR Labs,5,2021-06-12,Neil,TNVC 2021 App,
173,115.0,MicroSilicon,5,2021-06-12,Neil,TNVC 2021 App,
