prize_id,company_id,company,type,auxiliary_column,amount,year,description
1,3.0,Brevitest Technologies,tnvc_main_cash,Brevitest Technologies-tnvc_main_cash,15000.0,2015.0,4th place
2,5.0,ECM Technologies,tnvc_elpit_cash,ECM Technologies-tnvc_elpit_cash,5000.0,2015.0,2nd elev. pitch
3,6.0,Guardian Sensors,tnvc_elpit_cash,Guardian Sensors-tnvc_elpit_cash,10000.0,2015.0,1st elev. pitch
4,8.0,Noninvasix,tnvc_main_cash,Noninvasix-tnvc_main_cash,50000.0,2015.0,1st place
5,8.0,Noninvasix,others_cash,Noninvasix-others_cash,50000.0,2015.0,TEFT
6,10.0,Sano Chemicals,tnvc_main_cash,Sano Chemicals-tnvc_main_cash,10000.0,2015.0,6th place
7,11.0,Scribesense,tnvc_main_cash,Scribesense-tnvc_main_cash,30000.0,2015.0,2nd place
8,14.0,TeVido,tnvc_main_cash,TeVido-tnvc_main_cash,10000.0,2015.0,5th place
9,14.0,TeVido,others_cash,TeVido-others_cash,15000.0,2015.0,TEFT
10,15.0,Thermal Expansion Solutions (Allvar),tnvc_main_cash,Thermal Expansion Solutions (Allvar)-tnvc_main_cash,20000.0,2015.0,3rd place
11,15.0,Thermal Expansion Solutions (Allvar),others_cash,Thermal Expansion Solutions (Allvar)-others_cash,30000.0,2015.0,TEFT
12,21.0,Acoustic Shield,tnvc_elpit_cash,Acoustic Shield-tnvc_elpit_cash,3000.0,2016.0,2nd elev. pitch
13,22.0,Astrapi,tnvc_elpit_cash,Astrapi-tnvc_elpit_cash,2000.0,2016.0,3rd elev. pitch
14,23.0,Cartofusion Technologies,tnvc_main_cash,Cartofusion Technologies-tnvc_main_cash,5000.0,2016.0,6th place
15,5.0,ECM Technologies,tnvc_elpit_cash,ECM Technologies-tnvc_elpit_cash,5000.0,2016.0,1st elev. pitch
16,28.0,NuPark,tnvc_main_cash,NuPark-tnvc_main_cash,15000.0,2016.0,4th place
17,29.0,REEcycle,tnvc_main_cash,REEcycle-tnvc_main_cash,50000.0,2016.0,1st place
18,30.0,Siva Therapeutics,tnvc_main_cash,Siva Therapeutics-tnvc_main_cash,10000.0,2016.0,5th place
19,32.0,Trifusion/Essentium,tnvc_main_cash,Trifusion/Essentium-tnvc_main_cash,35000.0,2016.0,2nd place
20,18.0,Voyager Biomedical (Scepter Medical Devices),tnvc_main_cash,Voyager Biomedical (Scepter Medical Devices)-tnvc_main_cash,25000.0,2016.0,3rd place
21,35.0,Claridge-Culp,others_cash,Claridge-Culp-others_cash,5000.0,2017.0,Cleantech Prize – Wells Fargo/TEES Clean Energy Incubator
22,35.0,Claridge-Culp,others_inkind,Claridge-Culp-others_inkind,5000.0,2017.0,Cleantech Prize – Wells Fargo/TEES Clean Energy Incubator
23,36.0,Clear River Enviro,tnvc_main_cash,Clear River Enviro-tnvc_main_cash,15000.0,2017.0,4th place
24,37.0,Fortis Biosciences,tnvc_main_cash,Fortis Biosciences-tnvc_main_cash,5000.0,2017.0,6th place
25,37.0,Fortis Biosciences,others_inkind,Fortis Biosciences-others_inkind,5000.0,2017.0,Ramey & Schwaller IP Legal Services Prize
26,38.0,GuidaBot,tnvc_elpit_cash,GuidaBot-tnvc_elpit_cash,5000.0,2017.0,1st elev. pitch
27,38.0,GuidaBot,others_inkind,GuidaBot-others_inkind,20000.0,2017.0,TMCX Accelerator admission
28,39.0,IntuiTap Medical,tnvc_main_cash,IntuiTap Medical-tnvc_main_cash,50000.0,2017.0,1st place
29,39.0,IntuiTap Medical,others_inkind,IntuiTap Medical-others_inkind,10000.0,2017.0,Biotex Services Prize
30,42.0,NHC,tnvc_main_cash,NHC-tnvc_main_cash,35000.0,2017.0,2nd place
31,45.0,Resthetics,tnvc_elpit_cash,Resthetics-tnvc_elpit_cash,2000.0,2017.0,3rd elev. pitch
32,45.0,Resthetics,others_invest,Resthetics-others_invest,25000.0,2017.0,TMCX investment prize
33,45.0,Resthetics,others_inkind,Resthetics-others_inkind,20000.0,2017.0,TMCX Accelerator admission
34,47.0,Sensytec,tnvc_elpit_cash,Sensytec-tnvc_elpit_cash,3000.0,2017.0,2nd elev. pitch
35,48.0,Shower Stream,tnvc_main_cash,Shower Stream-tnvc_main_cash,35000.0,2017.0,2nd place
36,48.0,Shower Stream,others_inkind,Shower Stream-others_inkind,12500.0,2017.0,InnovateX/RVF Prize
37,48.0,Shower Stream,others_invest,Shower Stream-others_invest,12500.0,2017.0,InnovateX/RVF Prize
38,52.0,Thermascape Technologies,tnvc_main_cash,Thermascape Technologies-tnvc_main_cash,10000.0,2017.0,5th place
39,52.0,Thermascape Technologies,others_inkind,Thermascape Technologies-others_inkind,5000.0,2017.0,Amerra Visualization Services Prize
40,52.0,Thermascape Technologies,others_inkind,Thermascape Technologies-others_inkind,10000.0,2017.0,AM Innovation Center Prize
41,53.0,Admetsys,tnvc_main_cash,Admetsys-tnvc_main_cash,35000.0,2018.0,2nd place
42,,Advanced Scanners,tnvc_main_cash,Advanced Scanners-tnvc_main_cash,10000.0,2018.0,5th place
43,,Advanced Scanners,others_inkind,Advanced Scanners-others_inkind,10000.0,2018.0,Ramey Schwaller IP Legal Services
44,34.0,Alleviant Medical,others_inkind,Alleviant Medical-others_inkind,7500.0,2018.0,Thomas Horstemeyer IP Legal Services
45,55.0,Arovia,tnvc_main_cash,Arovia-tnvc_main_cash,50000.0,2018.0,1st place
46,55.0,Arovia,others_inkind,Arovia-others_inkind,5000.0,2018.0,Amerra Visualization
47,55.0,Arovia,others_invest,Arovia-others_invest,25000.0,2018.0,Aggie Angel Network
48,55.0,Arovia,others_invest,Arovia-others_invest,30000.0,2018.0,GOOSE Society
49,56.0,AtmoSpark,tnvc_main_cash,AtmoSpark-tnvc_main_cash,5000.0,2018.0,6th place
50,57.0,M&S Biotics,tnvc_main_cash,M&S Biotics-tnvc_main_cash,25000.0,2018.0,3rd place
51,57.0,M&S Biotics,others_inkind,M&S Biotics-others_inkind,10000.0,2018.0,BioTex Services Prize
52,57.0,M&S Biotics,others_invest,M&S Biotics-others_invest,30000.0,2018.0,GOOSE Society
53,58.0,Polar Panel,tnvc_elpit_cash,Polar Panel-tnvc_elpit_cash,2000.0,2018.0,3rd elev. pitch
54,59.0,ResponderX,tnvc_elpit_cash,ResponderX-tnvc_elpit_cash,5000.0,2018.0,1st elev. pitch
55,59.0,ResponderX,others_cash,ResponderX-others_cash,10000.0,2018.0,RVP Launch
56,63.0,VastBiome,tnvc_main_cash,VastBiome-tnvc_main_cash,15000.0,2018.0,4th place
57,64.0,VenoStent,others_inkind,VenoStent-others_inkind,7500.0,2018.0,Thomas Horstemeyer IP Legal Services
58,64.0,VenoStent,others_inkind,VenoStent-others_inkind,20000.0,2018.0,TMC Innovation
59,66.0,Vitls,others_inkind,Vitls-others_inkind,10000.0,2018.0,Paragon Innovation Prize
60,66.0,Vitls,others_invest,Vitls-others_invest,25000.0,2018.0,TMC Innovation
61,68.0,Yotta Solar,tnvc_elpit_cash,Yotta Solar-tnvc_elpit_cash,3000.0,2018.0,2nd elev. pitch
62,68.0,Yotta Solar,others_cash,Yotta Solar-others_cash,5000.0,2018.0,TEES Cleantech
63,68.0,Yotta Solar,others_inkind,Yotta Solar-others_inkind,5000.0,2018.0,TEES Cleantech
64,71.0,Carbonwire,others_cash,Carbonwire-others_cash,5000.0,2019.0,TEES Cleantech
65,71.0,Carbonwire,others_inkind,Carbonwire-others_inkind,5000.0,2019.0,TEES Cleantech
66,72.0,EM Device Lab,tnvc_elpit_cash,EM Device Lab-tnvc_elpit_cash,1000.0,2019.0,5th elev. pitch
67,72.0,EM Device Lab,others_cash,EM Device Lab-others_cash,25000.0,2019.0,Southwest National Pediatric Devices Consortium
68,73.0,GaitIQ,others_inkind,GaitIQ-others_inkind,25000.0,2019.0,TMC Accelerator
69,73.0,GaitIQ,others_inkind,GaitIQ-others_inkind,10000.0,2019.0,Schwegman Lundberg and Woessner IP Legal Services
70,73.0,GaitIQ,others_inkind,GaitIQ-others_inkind,10000.0,2019.0,Hollinden Marketing
71,73.0,GaitIQ,others_cash,GaitIQ-others_cash,10000.0,2019.0,Ark Pharmacies
72,73.0,GaitIQ,tnvc_main_cash,GaitIQ-tnvc_main_cash,5000.0,2019.0,6th place
73,76.0,Ictero Medical,others_invest,Ictero Medical-others_invest,25000.0,2019.0,TMC Investment +Accelerator
74,76.0,Ictero Medical,others_inkind,Ictero Medical-others_inkind,10000.0,2019.0,TEES Engineering Innovation
75,76.0,Ictero Medical,others_inkind,Ictero Medical-others_inkind,10000.0,2019.0,Thomas Horstemeyer
76,77.0,Immosis,tnvc_elpit_cash,Immosis-tnvc_elpit_cash,2000.0,2019.0,4th elev. pitch
77,78.0,Intelligent Implants,tnvc_main_cash,Intelligent Implants-tnvc_main_cash,25000.0,2019.0,3rd place
78,79.0,NovoThelium,tnvc_elpit_cash,NovoThelium-tnvc_elpit_cash,3000.0,2019.0,3rd elev. pitch
79,80.0,PolyVascular,tnvc_elpit_cash,PolyVascular-tnvc_elpit_cash,5000.0,2019.0,1st elev. pitch
80,80.0,PolyVascular,others_invest,PolyVascular-others_invest,25000.0,2019.0,Goose Investment
81,80.0,PolyVascular,others_inkind,PolyVascular-others_inkind,10000.0,2019.0,Amerra Visualization
82,80.0,PolyVascular,others_inkind,PolyVascular-others_inkind,10000.0,2019.0,BioTex Services Prize
83,61.0,SABER Corportation,tnvc_elpit_cash,SABER Corportation-tnvc_elpit_cash,4000.0,2019.0,2nd elev. pitch
84,61.0,SABER Corportation,others_cash,SABER Corportation-others_cash,10000.0,2019.0,BVEDC Launch
85,81.0,Spark Biomedical,tnvc_main_cash,Spark Biomedical-tnvc_main_cash,50000.0,2019.0,1st place
86,81.0,Spark Biomedical,others_cash,Spark Biomedical-others_cash,25000.0,2019.0,Southwest National Pediatric Devices Consortium
87,81.0,Spark Biomedical,others_invest,Spark Biomedical-others_invest,30000.0,2019.0,Aggie Angel Network
88,82.0,Sun Co. Tracking,others_inkind,Sun Co. Tracking-others_inkind,10000.0,2019.0,TEES Engineering Innovation
89,83.0,SurfEllent,tnvc_main_cash,SurfEllent-tnvc_main_cash,35000.0,2019.0,2nd place
90,83.0,SurfEllent,others_inkind,SurfEllent-others_inkind,10000.0,2019.0,TEEX PDC
91,84.0,Teysha Technologies,tnvc_main_cash,Teysha Technologies-tnvc_main_cash,15000.0,2019.0,4th place
92,84.0,Teysha Technologies,others_inkind,Teysha Technologies-others_inkind,10000.0,2019.0,Thomas Horstemeyer
93,85.0,Toggle Health,others_inkind,Toggle Health-others_inkind,10000.0,2019.0,Paragon Innovations
94,64.0,VenoStent,tnvc_main_cash,VenoStent-tnvc_main_cash,10000.0,2019.0,5th place
95,64.0,VenoStent,others_inkind,VenoStent-others_inkind,10000.0,2019.0,Ramey & Schwaller
96,86.0,Allosense,tnvc_elpit_cash,Allosense-tnvc_elpit_cash,3000.0,2020.0,Elevator Pitch 3rd place
97,86.0,Allosense,others_inkind,Allosense-others_inkind,10000.0,2020.0,Paragon Innovations
98,87.0,Allotrope Medical,tnvc_main_cash,Allotrope Medical-tnvc_main_cash,50000.0,2020.0,1st place
99,87.0,Allotrope Medical,others_invest,Allotrope Medical-others_invest,80000.0,2020.0,Aggie Angel Network
100,,Bezoar Laboratories,tnvc_main_cash,Bezoar Laboratories-tnvc_main_cash,15000.0,2020.0,4th place
101,,Bezoar Laboratories,others_cash,Bezoar Laboratories-others_cash,10000.0,2020.0,BVEDC Launch
102,,Bezoar Laboratories,others_inkind,Bezoar Laboratories-others_inkind,10000.0,2020.0,Axle-Box Services 
103,89.0,Bondwell Technologies,tnvc_main_cash,Bondwell Technologies-tnvc_main_cash,10000.0,2020.0,5th place
104,72.0,EM Device Lab,others_inkind,EM Device Lab-others_inkind,10000.0,2020.0,Amerra 
105,72.0,EM Device Lab,others_inkind,EM Device Lab-others_inkind,10000.0,2020.0,BioTex Services Prize
106,90.0,Endpoint Security,others_inkind,Endpoint Security-others_inkind,10000.0,2020.0,Innovators Legal
107,93.0,Feel the Color,tnvc_elpit_cash,Feel the Color-tnvc_elpit_cash,2000.0,2020.0,Elevator Pitch 4th place
108,94.0,HiPR Innovation,tnvc_elpit_cash,HiPR Innovation-tnvc_elpit_cash,1000.0,2020.0,Elevator Pitch 5th place
109,94.0,HiPR Innovation,others_cash,HiPR Innovation-others_cash,25000.0,2020.0,Southwest National Pediatric Devices Consortium
110,95.0,Intelligent Nanofiber,tnvc_main_cash,Intelligent Nanofiber-tnvc_main_cash,5000.0,2020.0,6th place
111,79.0,NovoThelium,tnvc_elpit_cash,NovoThelium-tnvc_elpit_cash,4000.0,2020.0,Elevator Pitch 2nd place
112,79.0,NovoThelium,others_inkind,NovoThelium-others_inkind,10000.0,2020.0,Hollinden Marketing
113,80.0,PolyVascular,tnvc_main_cash,PolyVascular-tnvc_main_cash,25000.0,2020.0,3rd place
114,80.0,PolyVascular,others_inkind,PolyVascular-others_inkind,10000.0,2020.0,Hollinden Marketing
115,80.0,PolyVascular,others_inkind,PolyVascular-others_inkind,10000.0,2020.0,Innovators Legal
116,47.0,Sensytec,tnvc_main_cash,Sensytec-tnvc_main_cash,35000.0,2020.0,2nd place
117,47.0,Sensytec,others_inkind,Sensytec-others_inkind,10000.0,2020.0,Axle-Box Services 
118,47.0,Sensytec,others_inkind,Sensytec-others_inkind,10000.0,2020.0,Thomas Horstemeyer IP Legal Services
